PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Latitude,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023817,Bełchatów,Lignite Coal,5400,,Sub-Critical and Super-Critical,1981-2011,,PGE,"32,157",,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,51.2679,19.3265,,,,,,,,,,
1019032,Kozienice 1,Coal,1799,,,,,,7670.324,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,51.666381,21.461477,,,,,,,,,,
1019033,Rybnik,Coal,1775,,,,,,7095.093,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.13333,18.533,,,,,,,,,,
1019034,Połaniec,Coal,1623,,,,,,7609.248,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.4365,21.3377,,,,,,,,,,
1019036,Turów,Lignite Coal,1498,,Sub-critical Thermal,1962-1971,"3x235, 3x260",PGE,"7,354",,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.9486,14.913,Biomass,,,,,,,,,
1019035,Opole,Coal,1492,,Sub-critical Thermal,1993-1997,4x373,PGE,"6,330",Wet Flue Gas Desulphurisation Plant,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.75182,17.8819,,,,,Recirculating Cooling,,,,,
1019037,Dolna Odra,Coal,1362,,Sub-critical Thermal,1974-1977,,PGE,"4,921",,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,53.2065,14.4669,Biomass,,,,,,,,,
1019038,Jaworzno 3,Coal,1345,,,,,,4396.408,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.2068,19.2052,,,,,,,,,,
1019039,Pątnów 1,Lignite Coal,1200,,,,,,4115.897,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,52.30178,18.23507,,,,,,,,,,
1019040,Kozienice 2,Coal,1120,,,,,,4765.033,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,51.666381,21.461477,,,,,,,,,,
1019041,Łaziska 3,Coal,905,,,,,,3044.323,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.13335,18.846585,,,,,,,,,,
